Date,vfinx,hsi,n225,pesi,ks11,jkse,msci,vgk,vwo,iemg,eem,emb,ibcx,spsk,asia,hydb,tlt
2010-04-30,88.98198699951170,,,10.699999809265100,,,32.05558395385740,31.144311904907200,31.72110366821290,,33.58218002319340,62.452999114990200,121.96444702148400,,,,68.45243835449220
2010-06-01,80.46026611328130,19496.94921875,9711.830078125,8.25,1630.4000244140600,2724.5341796875,27.2171630859375,27.269779205322300,28.297094345092800,,29.86857032775880,61.44968795776370,120.5904769897460,,,,72.4549331665039
2010-07-01,77.3239974975586,,9191.599609375,8.300000190734860,1686.239990234380,2874.162841796880,25.292917251586900,27.572467803955100,28.82501792907720,,30.21908187866210,62.65928268432620,121.0086441040040,,,,76.24082946777340
2010-08-02,84.82675170898440,21412.7890625,9570.3095703125,9.25,1782.27001953125,3058.88818359375,30.760393142700200,32.06586837768560,32.399871826171900,,34.14218521118160,65.61888122558590,122.38260650634800,,,,74.3419189453125
2010-09-01,81.58207702636720,20623.830078125,8927.01953125,8.350000381469730,1764.68994140625,3135.222900390630,28.512344360351600,30.619630813598600,31.796518325805700,,33.33827209472660,67.42662048339840,122.91028594970700,,,,80.03727722167970
2010-10-01,86.67766571044920,,9404.23046875,8.449999809265140,1876.72998046875,3547.009765625,31.75952911376950,33.18248748779300,34.8208122253418,,36.52176284790040,68.18252563476560,122.31291961669900,,,,79.28227233886720
2010-11-01,89.6512680053711,23652.939453125,9154.7197265625,8.550000190734860,1914.739990234380,3645.038818359380,33.054710388183600,34.164581298828100,35.71828842163090,,37.48646926879880,69.45289611816410,121.94454193115200,,,,75.77906036376950
2010-12-01,91.51593017578130,23249.80078125,9988.0498046875,7.400000095367430,1929.3199462890600,3618.986572265630,32.57364273071290,32.75871276855470,35.3789176940918,,37.028228759765600,66.6230697631836,119.46541595459000,,,,73.15787506103520
2010-12-31,95.5439224243164,,,8.149999618530270,,,36.04285430908200,34.584510803222700,36.94561004638670,,38.619163513183600,66.59889221191410,119.85370635986300,,,,72.05345916748050
2011-02-01,99.42939758300780,23482.94921875,10274.5,7.849999904632570,2072.030029296880,3442.39892578125,32.04631423950200,36.66281509399410,36.43919372558590,,38.03550720214840,66.21148681640630,118.77843475341800,,,,69.48759460449220
2011-03-01,99.54486083984380,23396.419921875,10754.0302734375,7.349999904632570,,3512.5126953125,32.18507766723630,36.27534103393560,35.24220275878910,,36.73847961425780,65.89930725097660,118.55940246582000,,,,71.1915054321289
2011-04-01,101.67214965820300,23801.900390625,9708.3896484375,7.650000095367430,2121.010009765630,3707.377197265630,35.321266174316400,37.06437683105470,38.17330551147460,,40.08644104003910,67.01770782470700,117.81268310546900,,,,71.35167694091800
2011-05-02,103.96688079834000,,10004.2001953125,7.199999809265140,2228.9599609375,3849.185791015630,32.71240997314450,39.5865364074707,38.764129638671900,,40.5404052734375,67.97315979003910,,,,,72.7840347290039
